Latitude; Longitude ;Altitude
-23.6906970089811;-45.96346698670556;776.9144897460938
-23.70139223949129;-45.96621340822295;846.0658569335938
-23.712041899369567;-45.96916371633405;699.4906616210938
-23.72264273343866;-45.97231705927167;378.5351867675781
-23.73319150064434;-45.9756725225657;38.72216415405273
-23.743684975056432;-45.97922912926382;21.15255546569824
-23.754119946866307;-45.98298584017232;12.55537033081055
-23.76449322338031;-45.98694155411704;9.894257545471191
-23.774801630008906;-45.99109510822418;11.95605373382568
-23.785042011251143;-45.99544527822139;10.22688770294189
-23.79521123167426;-45.99999077875864;6.732222080230713
-23.80530617688789;-46.0047302637493;0.0
-23.81532375451277;-46.009662326730975;-2.005582332611084
-23.82526089514357;-46.01478550124639;-5.676664352416992
-23.83511455330533;-46.02009826124407;-6.674473762512207
-23.844881708403552;-46.02559902149877;-6.842459201812744
-23.854559365667267;-46.03128613805181;-9.02284049987793
-23.86414455708508;-46.037157908670814;-12.78707504272461
-23.87363434233356;-46.04321257332924;-15.14257335662842
-23.88302580969801;-46.0494483147052;-15.99760150909424
-23.89231607698497;-46.05586325869989;-14.60373878479004
-23.90150229242636;-46.062455474975;-14.0
-23.91058163557493;-46.06922297750951;-15.0
-23.91955131819064;-46.076163725175455;-15.84238243103027
-23.928408585117687;-46.083275622332486;-17.0
-23.93715071515193;-46.09055651944133;-16.0
-23.94577502189836;-46.09800421369571;-16.0
-23.95427885461832;-46.10561644967288;-16.0
-23.96265959906625;-46.11339092000225;-16.0
-23.97091467831553;-46.12132526605229;-16.9960994720459
-23.97904155357332;-46.12941707863519;-16.79208755493164
-23.987037724983846;-46.13766389872936;-14.95084857940674
-23.994900732420227;-46.14606321821945;-12.80543231964111
-24.002628156264123;-46.15461248065365;-9.420868873596191
-24.010217618173314;-46.16330908201807;-7.453884124755859
-24.01766678183667;-46.17215037152807;-9.627999305725098
-24.024973353716405;-46.181133652436166;-13.51585578918457
-24.03213508377728;-46.19025618285637;-15.18039894104004
-24.039149766202453;-46.199515176604685;-15.38648509979248
-24.046015240095866;-46.20890780405543;-16.1280689239502
-24.052729390170708;-46.21843119301328;-15.95224571228027
-24.05929014742391;-46.22808242960057;-15.50587558746338
-24.06569548979628;-46.23785855915977;-11.9400634765625
-24.071943442818107;-46.2477565871706;-12.6958179473877
-24.07803208023998;-46.25777348018174;-18.88356590270996
-24.08395952464861;-46.26790616675666;-22.88850021362305
-24.089723948067363;-46.278151538433335;-24.74190521240234
-24.095323572541425;-46.288506450697504;-24.72748565673828
-24.100756670707213;-46.298967723969085;-24.0
-24.106021566345905;-46.30953214460155;-22.42354393005371
-24.111116634920936;-46.32019646589379;-20.60401344299316
-24.116040304099187;-46.33095740911419;-17.41225242614746
-24.12079105425562;-46.34181166453652;-14.1116304397583
-24.125367418961364;-46.3527558924873;-15.5248851776123
-24.129767985454865;-46.36378672440429;-18.7158145904541
-24.133991395096;-46.37490076390569;-20.96587181091309
-24.138036343803087;-46.3860945878697;-23.79331588745117
-24.141901582472418;-46.39736474752405;-25.0
-24.14558591738035;-46.40870776954509;-25.14103507995605
-24.149088210567687;-46.42012015716605;-25.0
-24.15240738020628;-46.43159839129414;-24.0
-24.15554240094763;-46.44313893163589;-23.89810562133789
-24.158492304253443;-46.45473821783059;-23.83778190612793
-24.16125617870796;-46.46639267059115;-23.0877571105957
-24.163833170311964;-46.478098692852186;-22.65706062316895
-24.166222482758325;-46.4898526709247;-22.65218925476074
-24.168423377689027;-46.5016509756571;-21.59859275817871
-24.170435174933537;-46.513489963602005;-20.96357536315918
-24.172257252728457;-46.52536597818849;-19.9449348449707
-24.17388904791833;-46.53727535089926;-19.1305046081543
-24.17533005613757;-46.54921440245235;-18.99844741821289
-24.176579831973445;-46.56117944398691;-18.42414855957031
-24.17763798911;-46.57316677825259;-18.81008338928223
-24.1785042004529;-46.58517270080216;-18.0
-24.17917819823521;-46.597193501186766;-17.0
-24.179659774103925;-46.60922546415355;-15.5897331237793
-24.17994877918732;-46.62126487084506;-13.6511287689209
-24.18004512414311;-46.633308;-11.47818088531494
-24.17994877918732;-46.64535112915494;-10.0
-24.179659774103925;-46.65739053584645;-10.23855686187744
-24.17917819823521;-46.66942249881324;-11.0
-24.1785042004529;-46.681443299197845;-10.95712566375732
-24.17763798911;-46.69344922174741;-8.027050018310547
-24.176579831973445;-46.7054365560131;-2.331214427947998
-24.17533005613757;-46.717401597547656;-4.198325157165527
-24.17388904791833;-46.72934064910075;-7.053581714630127
-24.172257252728457;-46.74125002181151;-0.01240687817335129
-24.170435174933537;-46.753126036398;0.0
-24.168423377689027;-46.76496502434291;6.739322662353516
-24.166222482758325;-46.7767633290753;4.765698909759521
-24.163833170311964;-46.78851730714782;2.801329612731934
-24.16125617870796;-46.80022332940886;2.435228586196899
-24.158492304253443;-46.81187778216942;1.003870844841003
-24.15554240094763;-46.82347706836411;8.384843826293945
-24.15240738020628;-46.83501760870586;5.272719383239746
-24.149088210567687;-46.84649584283395;3.195377588272095
-24.14558591738035;-46.85790823045492;10.54785823822021
-24.141901582472418;-46.86925125247596;5.902172565460205
-24.138036343803087;-46.88052141213031;9.459177017211914
-24.133991395096;-46.89171523609431;60.67283248901367
-24.129767985454865;-46.902829275595714;20.47556304931641
-24.125367418961364;-46.913860107512704;0.7337229251861572
-24.12079105425562;-46.92480433546348;4.343550205230713
-24.116040304099187;-46.93565859088581;7.472617149353027
-24.111116634920936;-46.94641953410621;50.40723037719727
-24.106021566345905;-46.95708385539846;27.78761100769043
-24.100756670707213;-46.96764827603092;340.1575317382812
-24.095323572541425;-46.9781095493025;477.0589599609375
-24.089723948067363;-46.98846446156666;520.8089599609375
-24.08395952464861;-46.99870983324335;654.130615234375
-24.07803208023998;-47.008842519818266;695.2701416015625
