Latitude; Longitude 
-24.17533005613757;-46.54921440245235
-24.176579831973445;-46.56117944398691
-24.177637989109996;-46.57316677825259
-24.1785042004529;-46.58517270080216
-24.17917819823521;-46.597193501186766
-24.179659774103925;-46.60922546415355
-24.17994877918732;-46.62126487084506
-24.18004512414311;-46.633308
-24.17994877918732;-46.64535112915494
-24.179659774103925;-46.65739053584645
-24.17917819823521;-46.66942249881324
-24.1785042004529;-46.681443299197845
-24.177637989109996;-46.69344922174741
-24.176579831973445;-46.7054365560131
-24.17533005613757;-46.717401597547656
-24.17388904791833;-46.72934064910075
-24.172257252728457;-46.74125002181151
-24.170435174933537;-46.753126036398
-24.168423377689027;-46.76496502434291
-24.166222482758325;-46.7767633290753
-24.163833170311964;-46.78851730714782
-24.161256178707962;-46.80022332940886
-24.158492304253443;-46.81187778216942
-24.15554240094763;-46.82347706836411
-24.15240738020628;-46.83501760870586
-24.149088210567687;-46.84649584283395
-24.14558591738035;-46.85790823045492
-24.141901582472418;-46.869251252475955
-24.138036343803087;-46.88052141213031
-24.133991395095997;-46.89171523609431
-24.129767985454862;-46.902829275595714
-24.125367418961364;-46.913860107512704
-24.12079105425562;-46.92480433546348
-24.116040304099187;-46.93565859088581
-24.111116634920936;-46.94641953410621
-24.106021566345902;-46.95708385539846
-24.100756670707213;-46.96764827603092
-24.095323572541425;-46.9781095493025
-24.089723948067363;-46.988464461566664
-24.083959524648606;-46.998709833243346
-24.07803208023998;-47.008842519818266
-24.071943442818107;-47.0188594128294
-24.06569548979628;-47.02875744084023
-24.059290147423912;-47.03853357039943
-24.052729390170708;-47.048184806986725
-24.046015240095866;-47.05770819594457
-24.039149766202453;-47.067100823395315
-24.032135083777277;-47.076359817143626
-24.024973353716405;-47.08548234756383
-24.01766678183667;-47.09446562847194
-24.010217618173314;-47.10330691798194
-24.002628156264123;-47.11200351934635
-23.994900732420227;-47.12055278178055
-23.987037724983846;-47.128952101270656
-23.979041553573314;-47.13719892136482
-23.970914678315534;-47.14529073394771
-23.962659599066246;-47.153225079997746
-23.95427885461832;-47.160999550327126
-23.94577502189836;-47.1686117863043
-23.93715071515193;-47.17605948055868
-23.928408585117687;-47.18334037766751
-23.919551318190642;-47.190452274824544
-23.91058163557493;-47.19739302249049
-23.901502292426354;-47.20416052502501
-23.89231607698497;-47.21075274130012
-23.883025809698015;-47.217167685294804
-23.87363434233356;-47.22340342667077
-23.864144557085073;-47.22945809132919
-23.854559365667267;-47.235329861948195
-23.844881708403552;-47.241016978501236
-23.835114553305335;-47.24651773875594
-23.825260895143575;-47.25183049875361
-23.815323754512775;-47.256953673269024
-23.805306176887886;-47.261885736250704
-23.79521123167426;-47.26662522124136
-23.785042011251146;-47.27117072177862
-23.774801630008906;-47.27552089177582
-23.76449322338031;-47.27967444588297
-23.754119946866307;-47.28363015982768
-23.743684975056432;-47.287386870736185
-23.73319150064434;-47.290943477434304
-23.72264273343866;-47.29429894072833
-23.712041899369567;-47.297452283665955
-23.701392239491298;-47.30040259177705
-23.6906970089811;-47.303149013294444
-23.679959476134716;-47.305690759354604
-23.669182921358896;-47.3080271041783
-23.658370636161216;-47.31015738523131
-23.647525922137394;-47.31208100336501
-23.636652089956677;-47.31379742293715
-23.62575245834535;-47.31530617191262
-23.61483035306885;-47.3166068419444
-23.603889105912778;-47.31769908843472
-23.59293205366301;-47.318582630576394
-23.581962537085438;-47.3192572513746
-23.570983899905407;-47.31972279764889
-23.559999487787366;-47.31997918001585
-23.5490126473149;-47.32002637285215
-23.53802672497154;-47.31986441423835
-23.527045066122618;-47.319493405883414
-23.51607101399849;-47.31891351303004
-23.5051079086794;-47.31812496434095
-23.49415908608234;-47.317128051766296
-23.483227876950174;-47.3159231303921
-23.472317605843287;-47.314510618270134
-23.46143159013418;-47.31289099622917
-23.450573139005137;-47.311064807667705
-23.439745552449416;-47.30903265832852
-23.42895212027611;-47.3067952160549
-23.418196121119138;-47.304353210528944
-23.407480821450417;-47.30170743299191
-23.396809474597795;-47.29885873594691
-23.38618531976771;-47.295808032843915
-23.37561158107315;-47.292556297747424
-23.365091466566938;-47.28910456498686
-23.354628167280797;-47.28545392878983
-23.344224856270387;-47.28160554289855
-23.33388468766656;-47.277560620169446
-23.323610795733174;-47.273320432156154
-23.313406293931667;-47.268886308676265
-23.30327427399268;-47.264259637361725
-23.293217804994963;-47.25944186319328
-23.283239932451846;-47.25443448801904
-23.273343677405503;-47.249239070057456
-23.263532035529302;-47.243857223384765
-23.253807976238388;-47.23829061740729
-23.24417444180888;-47.23254097631853
-23.23463434650577;-47.22661007854159
-23.225190575719918;-47.220499756156734
-23.215845985114218;-47.21421189431469
-23.206603399779294;-47.20774843063558
-23.19746561339888;-47.20111135459391
-23.188435387425105;-47.194302706889665
-23.179515450263978;-47.18732457880583
-23.17070849647118;-47.18017911155253
-23.162017185958454;-47.172868495598024
-23.153444143210788;-47.165394969986615
-23.14499195651456;-47.157760821644
-23.13666317719691;-47.14996838466998
-23.128460318876478;-47.142020039618906
-23.12038585672575;-47.1339182127681
-23.11244222674516;-47.12566537537438
-23.10463182504917;-47.11726404291898
-23.096957007164523;-47.10871677434113
-23.08942008734078;-47.1000261712604
-23.082023337873448;-47.09119487718821
-23.07476898843969;-47.08222557672851
-23.06765922544698;-47.07312099476817
-23.06069619139474;-47.06388389565699
-23.05388198424917;-47.05451708237779
-23.047218656831408;-47.0450233957067
-23.040708216219226;-47.03540571336397
-23.03435262316233;-47.02566694915542
-23.028153791511507;-47.01581005210495
-23.02211358766167;-47.00583800557809
-23.01623383000904;-46.995753826397106
-23.010516288422483;-46.98556056394769
-23.00496268372927;-46.97526129927759
-22.99957468721526;-46.96485914418737
-22.994353920139737;-46.95435724031358
-22.98930195326493;-46.943758758204474
-22.984420306400438;-46.93306689638873
-22.979710447962546;-46.92228488043718
-22.97517379454867;-46.9114159620179
-22.97081171052693;-46.900463417944906
-22.966625507641044;-46.88943054922078
-22.962616444630545;-46.878320680073244
-22.95878572686651;-46.86713715698612
-22.955134506002842;-46.85588334772488
